EGID	EDID	EGAID	DEINR	ESID	STRNAME	STRNAMK	STRINDX	STRSP	STROFFIZIEL	DPLZ4	DPLZZ	DPLZNAME	DKODE	DKODN	DOFFADR	DEXPDAT
1753915	0	100938941	18	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584978.857	1221553.561	1	2026-04-25
1753915	0	100938941	18	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584978.857	1221553.561	1	2026-04-25
1753916	0	101945361	20	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584979.064	1221529.259	1	2026-04-25
1753916	0	101945361	20	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584979.064	1221529.259	1	2026-04-25
1753917	0	101970771	20a	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584980.107	1221510.894	1	2026-04-25
1753917	0	101970771	20a	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584980.107	1221510.894	1	2026-04-25
1753918	0	101948699	22	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584968.234	1221600.726	1	2026-04-25
1753918	0	101948699	22	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584968.234	1221600.726	1	2026-04-25
1753919	0	100938942	95c	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2585041.507	1221176.305	1	2026-04-25
1753919	0	100938942	95c	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2585041.507	1221176.305	1	2026-04-25
1753920	0	100938943	24	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584981.361	1221612.478	1	2026-04-25
